Common_name,Scientific_name,Latitude,Longitude,PostHeatwaveRating,Observation date (DD/MM/YYYY),Observation_ID
Bay mussel,Mytilus spp.,48.0258,-122.7232,worse than normal,22/07/2021,QO_046
Bay mussel,Mytilus spp.,48.0253,-123.006,much worse than normal,30/06/2021,QO_058
Bay mussel,Mytilus spp.,47.4833,-123.0781,much worse than normal,23/07/2021,QO_116
Bay mussel,Mytilus spp.,47.3995,-123.1421,much worse than normal,9/7/2021,QO_117
Butter clam,Saxidomus gigantea,48.4086,-122.5539,worse than normal,21/07/2021,QO_012
Butter clam,Saxidomus gigantea,48.4056,-122.5538,normal,21/07/2021,QO_010
Butter clam,Saxidomus gigantea,48.2323,-122.7322,normal,23/07/2021,QO_084
Butter clam,Saxidomus gigantea,48.2206,-122.7259,normal,20/07/2021,QO_015
Butter clam,Saxidomus gigantea,48.1338,-123.082,much worse than normal,29/06/2021,QO_063
Butter clam,Saxidomus gigantea,48.0258,-122.7232,worse than normal,22/07/2021,QO_045
Butter clam,Saxidomus gigantea,48.0258,-122.7232,normal,22/07/2021,QO_081
Butter clam,Saxidomus gigantea,48.0165,-122.5319,much worse than normal,26/07/2021,QO_087
Butter clam,Saxidomus gigantea,47.8533,-122.5732,worse than normal,29/06/2021,QO_130
Butter clam,Saxidomus gigantea,47.2104,-122.9206,worse than normal,6/7/2021,QO_100
California mussel,Mytilus californianus,51.9247,-128.4805,normal,26/07/2021,QO_119
California mussel,Mytilus californianus,51.6666,-128.1349,normal,28/06/2021,QO_170
California mussel,Mytilus californianus,51.6565,-128.1487,normal,19/08/2021,QO_171
California mussel,Mytilus californianus,51.6465,-128.1486,normal,20/08/2021,QO_146
California mussel,Mytilus californianus,51.6405,-128.1567,normal,29/06/2021,QO_172
California mussel,Mytilus californianus,48.827,-125.1555,worse than normal,8/8/2021,QO_162
California mussel,Mytilus californianus,48.8203,-125.1647,much worse than normal,11/8/2021,QO_164
California mussel,Mytilus californianus,48.8188,-125.164,worse than normal,11/8/2021,QO_163
California mussel,Mytilus californianus,48.8173,-125.1695,normal,11/8/2021,QO_165
California mussel,Mytilus californianus,48.8172,-125.1698,normal,11/7/2021,QO_157
California mussel,Mytilus californianus,48.8155,-125.1735,much worse than normal,11/8/2021,QO_166
California mussel,Mytilus californianus,48.5258,-124.4485,normal,9/7/2021,QO_161
California mussel,Mytilus californianus,48.45,-122.9643,normal,6/7/2021,QO_025
California mussel,Mytilus californianus,48.3948,-123.9867,normal,10/7/2021,QO_040
California mussel,Mytilus californianus,48.3911,-124.7385,normal,5/9/2021,QO_189
California mussel,Mytilus californianus,48.3862,-123.9421,normal,10/7/2021,QO_041
California mussel,Mytilus californianus,48.1505,-123.6378,much worse than normal,24/07/2021,QO_030
California mussel,Mytilus californianus,47.6527,-124.3922,normal,14/07/2021,QO_175
Cockle,Clinocardium nuttallii,48.7401,-122.6716,worse than normal,21/06/2021,QO_199
Cockle,Clinocardium nuttallii,48.4874,-122.5783,much worse than normal,28/06/2021,QO_001
Cockle,Clinocardium nuttallii,48.4227,-122.5587,much worse than normal,15/07/2021,QO_007
Cockle,Clinocardium nuttallii,48.4086,-122.5539,much worse than normal,21/07/2021,QO_011
Cockle,Clinocardium nuttallii,48.4056,-122.5538,normal,21/07/2021,QO_009
Cockle,Clinocardium nuttallii,48.2323,-122.7322,normal,23/07/2021,QO_085
Cockle,Clinocardium nuttallii,48.2206,-122.7259,normal,20/07/2021,QO_014
Cockle,Clinocardium nuttallii,48.2115,-122.4402,much worse than normal,29/06/2021,QO_090
Cockle,Clinocardium nuttallii,48.1338,-123.082,much worse than normal,29/06/2021,QO_059
Cockle,Clinocardium nuttallii,48.0455,-123.0309,worse than normal,8/6/2021,QO_068
Cockle,Clinocardium nuttallii,48.0455,-123.0309,worse than normal,12/7/2021,QO_073
Cockle,Clinocardium nuttallii,48.0258,-122.7232,worse than normal,22/07/2021,QO_047
Cockle,Clinocardium nuttallii,48.0253,-123.006,much worse than normal,30/06/2021,QO_054
Cockle,Clinocardium nuttallii,48.0245,-122.7028,worse than normal,8/7/2021,QO_048
Cockle,Clinocardium nuttallii,48.0237,-122.7278,normal,21/07/2021,QO_080
Cockle,Clinocardium nuttallii,47.8533,-122.5732,much worse than normal,29/06/2021,QO_129
Cockle,Clinocardium nuttallii,47.6844,-122.8904,much worse than normal,8/7/2021,QO_203
Cockle,Clinocardium nuttallii,47.5671,-122.9763,worse than normal,8/7/2021,QO_128
Cockle,Clinocardium nuttallii,47.4833,-123.0781,much worse than normal,23/07/2021,QO_112
Cockle,Clinocardium nuttallii,47.426,-122.87,worse than normal,25/06/2021,QO_094
Cockle,Clinocardium nuttallii,47.2999,-122.7456,much worse than normal,8/7/2021,QO_021
Cockle,Clinocardium nuttallii,47.2604,-122.7457,much worse than normal,7/7/2021,QO_016
Cockle,Clinocardium nuttallii,47.2104,-122.9206,much worse than normal,6/7/2021,QO_097
Cockle,Clinocardium nuttallii,47.1158,-122.8314,worse than normal,22/07/2021,QO_004
Dogwhelk,Nucella lamellosa,49.3027,-123.1261,normal,12/7/2021,QO_120
Dogwhelk,Nucella lamellosa,49.2726,-123.1777,normal,22/07/2021,QO_121
Dogwhelk,Nucella lamellosa,49.1097,-123.8038,much worse than normal,22/07/2021,QO_124
Dogwhelk,Nucella lamellosa,49.0433,-123.7522,much worse than normal,21/07/2021,QO_123
Dogwhelk,Nucella lamellosa,49.0316,-122.8756,much worse than normal,11/7/2021,QO_122
Graceful crab,Cancer gracilis,48.0245,-122.7028,worse than normal,8/7/2021,QO_052
Henricia sea star,Henricia spp.,48.2462,-124.7022,much worse than normal,27/06/2021,QO_173
Horse clam,Tresus capax,48.0455,-123.0309,worse than normal,8/6/2021,QO_069
Horse clam,Tresus capax,47.2104,-122.9206,much worse than normal,6/7/2021,QO_102
Horse mussel,Modiolus rectus,48.0455,-123.0309,much worse than normal,12/7/2021,QO_075
Jingle shell,Pododesmus macroschisma,48.9875,-123.7616,much worse than normal,10/7/2021,QO_044
Leptasterias sea star,Leptasterias spp.,48.2462,-124.7022,much worse than normal,27/06/2021,QO_174
Manila clam,Ruditapes philippinarum,48.9083,-122.7609,normal,13/07/2021,QO_076
Manila clam,Ruditapes philippinarum,48.1347,-122.3687,worse than normal,29/06/2021,QO_093
Manila clam,Ruditapes philippinarum,48.0253,-123.006,worse than normal,30/06/2021,QO_055
Manila clam,Ruditapes philippinarum,48.0165,-122.5319,normal,26/07/2021,QO_088
Manila clam,Ruditapes philippinarum,47.8533,-122.5732,normal,29/06/2021,QO_133
Manila clam,Ruditapes philippinarum,47.8111,-122.8612,worse than normal,9/7/2021,QO_134
Manila clam,Ruditapes philippinarum,47.8106,-122.8195,much worse than normal,11/8/2021,QO_125
Manila clam,Ruditapes philippinarum,47.3768,-122.9785,worse than normal,7/7/2021,QO_118
Manila clam,Ruditapes philippinarum,47.2104,-122.9206,much worse than normal,6/7/2021,QO_098
Manila clam,Ruditapes philippinarum,47.2081,-123.0085,worse than normal,6/7/2021,QO_103
Moon snail,Neverita lewisii,47.6844,-122.8904,much worse than normal,8/7/2021,QO_201
Moon snail,Neverita lewisii,47.6474,-122.9299,worse than normal,22/07/2021,QO_114
Moon snail,Neverita lewisii,47.4833,-123.0781,worse than normal,23/07/2021,QO_113
Moon snail,Neverita lewisii,47.3995,-123.1421,worse than normal,9/7/2021,QO_111
Moon snail,Neverita lewisii,47.2999,-122.7456,much worse than normal,8/7/2021,QO_023
Moon snail,Neverita lewisii,47.2604,-122.7457,much worse than normal,7/7/2021,QO_018
Moon snail,Neverita lewisii,47.2104,-122.9206,worse than normal,6/7/2021,QO_101
Mossy chiton,Mopalia muscosa,48.0455,-123.0309,worse than normal,20/07/2021,QO_078
Native littleneck clam,Leukoma staminea,48.7401,-122.6716,worse than normal,21/06/2021,QO_200
Native littleneck clam,Leukoma staminea,48.4086,-122.5539,normal,21/07/2021,QO_191
Native littleneck clam,Leukoma staminea,48.4056,-122.5538,normal,21/07/2021,QO_190
Native littleneck clam,Leukoma staminea,48.1347,-122.3687,worse than normal,29/06/2021,QO_092
Native littleneck clam,Leukoma staminea,48.1338,-123.082,normal,29/06/2021,QO_062
Native littleneck clam,Leukoma staminea,48.0253,-123.006,normal,30/06/2021,QO_198
Native littleneck clam,Leukoma staminea,48.0245,-122.7028,much worse than normal,8/7/2021,QO_050
Olympia oyster,Ostrea lurida,48.4874,-122.5783,worse than normal,28/06/2021,QO_002
Olympia oyster,Ostrea lurida,48.4867,-122.5775,worse than normal,10/7/2021,QO_026
Olympia oyster,Ostrea lurida,48.4803,-122.5831,worse than normal,10/7/2021,QO_027
Olympia oyster,Ostrea lurida,48.4217,-122.5572,normal,15/07/2021,QO_008
Olympia oyster,Ostrea lurida,48.4074,-122.5529,normal,26/07/2021,QO_031
Olympia oyster,Ostrea lurida,48.0253,-123.006,much worse than normal,26/07/2021,QO_060
Olympia oyster,Ostrea lurida,48.0253,-123.006,worse than normal,26/07/2021,QO_061
Olympia oyster,Ostrea lurida,48.0245,-122.7028,worse than normal,8/7/2021,QO_053
Olympia oyster,Ostrea lurida,47.9977,-122.883,normal,26/07/2021,QO_065
Olympia oyster,Ostrea lurida,47.9958,-122.879,normal,26/07/2021,QO_066
Olympia oyster,Ostrea lurida,47.83,-122.58,normal,18/08/2021,QO_141
Olympia oyster,Ostrea lurida,47.7365,-122.6513,much worse than normal,21/08/2021,QO_137
Olympia oyster,Ostrea lurida,47.7009,-122.6339,normal,21/08/2021,QO_138
Olympia oyster,Ostrea lurida,47.642,-122.688,worse than normal,10/8/2021,QO_096
Olympia oyster,Ostrea lurida,47.6307,-122.3859,normal,23/07/2021,QO_095
Olympia oyster,Ostrea lurida,47.5754,-122.6738,much worse than normal,21/08/2021,QO_136
Olympia oyster,Ostrea lurida,47.394,-122.631,normal,23/08/2021,QO_144
Olympia oyster,Ostrea lurida,47.3756,-122.8273,worse than normal,21/08/2021,QO_139
Pacific oyster,Crassostrea gigas,49.0316,-122.8756,much worse than normal,26/07/2021,QO_043
Pacific oyster,Crassostrea gigas,48.9875,-123.7616,worse than normal,10/7/2021,QO_042
Pacific oyster,Crassostrea gigas,48.0455,-123.0309,normal,8/6/2021,QO_067
Pacific oyster,Crassostrea gigas,48.0253,-123.006,worse than normal,30/06/2021,QO_056
Pacific oyster,Crassostrea gigas,47.8533,-122.5732,normal,29/06/2021,QO_132
Pacific oyster,Crassostrea gigas,47.83,-122.58,normal,18/08/2021,QO_142
Pacific oyster,Crassostrea gigas,47.689,-122.8861,normal,7/7/2021,QO_070
Pacific oyster,Crassostrea gigas,47.6844,-122.8904,normal,8/7/2021,QO_202
Pacific oyster,Crassostrea gigas,47.6474,-122.9299,normal,22/07/2021,QO_115
Pacific oyster,Crassostrea gigas,47.6441,-122.9289,normal,9/7/2021,QO_135
Pacific oyster,Crassostrea gigas,47.6131,-122.9827,worse than normal,9/7/2021,QO_071
Pacific oyster,Crassostrea gigas,47.5657,-122.9765,much worse than normal,8/7/2021,QO_126
Pacific oyster,Crassostrea gigas,47.4833,-123.0781,much worse than normal,23/07/2021,QO_109
Pacific oyster,Crassostrea gigas,47.3995,-123.1421,much worse than normal,9/7/2021,QO_110
Pacific oyster,Crassostrea gigas,47.394,-122.631,normal,23/08/2021,QO_145
Pacific oyster,Crassostrea gigas,47.3836,-122.9389,much worse than normal,12/7/2021,QO_107
Pacific oyster,Crassostrea gigas,47.3768,-122.9785,much worse than normal,7/7/2021,QO_105
Pacific oyster,Crassostrea gigas,47.3608,-123.0449,much worse than normal,12/7/2021,QO_108
Pacific oyster,Crassostrea gigas,47.3576,-123.1031,worse than normal,9/7/2021,QO_106
Pacific oyster,Crassostrea gigas,47.2999,-122.7456,much worse than normal,8/7/2021,QO_022
Pacific oyster,Crassostrea gigas,47.2604,-122.7457,much worse than normal,7/7/2021,QO_017
Pacific oyster,Crassostrea gigas,47.245,-123.036,normal,21/08/2021,QO_143
Pacific oyster,Crassostrea gigas,47.2104,-122.9206,much worse than normal,6/7/2021,QO_099
Pacific oyster,Crassostrea gigas,47.2081,-123.0085,worse than normal,6/7/2021,QO_104
Pacific oyster,Crassostrea gigas,46.4961,-124.0261,normal,20/07/2021,QO_003
Red rock crab,Cancer productus,48.7542,-123.4435,much worse than normal,22/07/2021,QO_005
Red rock crab,Cancer productus,48.7499,-123.4042,much worse than normal,22/07/2021,QO_006
Sand dollar,Dendraster excentricus,50.0273,-124.9982,much worse than normal,17/07/2021,QO_032
Sand dollar,Dendraster excentricus,48.0253,-123.006,much worse than normal,30/06/2021,QO_064
Sand dollar,Dendraster excentricus,48.0245,-122.7028,much worse than normal,8/7/2021,QO_049
Sand dollar,Dendraster excentricus,47.8533,-122.5732,much worse than normal,29/06/2021,QO_131
Sand dollar,Dendraster excentricus,47.3756,-122.8273,normal,21/08/2021,QO_140
Sand dollar,Dendraster excentricus,47.2999,-122.7456,much worse than normal,8/7/2021,QO_024
Sand dollar,Dendraster excentricus,47.2604,-122.7457,much worse than normal,7/7/2021,QO_020
Shore crab,Hemigrapsus spp.,48.2323,-122.7322,worse than normal,23/07/2021,QO_086
Slipper shell,Crepidula spp.,47.2604,-122.7457,much worse than normal,7/7/2021,QO_019
Varnish clam,Nuttallia obscurata,48.0165,-122.5319,normal,26/07/2021,QO_089
Whelk,Buccinidae spp.,48.0455,-123.0309,worse than normal,20/07/2021,QO_079
